"filename", "language", "Markdown", "C#", "MSBuild", "JSON", "HTTP", "XML", "EditorConfig", "comment", "blank", "total"
"f:\LE-workspace\Pang.RBAC\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Authorization\PermissionHandler.cs", "C#", 0, 97, 0, 0, 0, 0, 0, 25, 15, 137
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Authorization\PermissionRequirement.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Authorization\TokenParameter.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\Authorization\AuthorizationController.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 11, 13, 90
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\Base\MyControllerBase.cs", "C#", 0, 121, 0, 0, 0, 0, 0, 47, 35, 203
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\FileResourceController.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\FunctionOperationController.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\MenuController.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\PageElementController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\PermissionController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\PermissionFileResourceAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\PermissionFunctionOperationAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\PermissionMenuAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\PermissionPageElementAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\RoleController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\RolePermissionAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\RoleUserGroupAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\UserController.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 76, 24, 129
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\UserGroupController.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\UserRoleAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\UserUserGroupAssController.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Controllers\WeatherForecastController.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Data\PangDbContext.cs", "C#", 0, 69, 0, 0, 0, 0, 0, 21, 13, 103
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\DtoParameters\Base\DtoParametersBase.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 6, 3, 26
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\DtoParameters\UserDtoParameters.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\Entity.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 6, 0, 14
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\FileResource.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 11, 1, 22
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\FunctionOperation.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 19, 1, 32
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\Menu.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 15, 1, 27
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\PageElement.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 7, 1, 17
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\Permission.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 7, 1, 22
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\PermissionFileResourceAss.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 19, 1, 33
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\PermissionFunctionOperationAss.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 16, 1, 29
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\PermissionMenuAss.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 3, 1, 16
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\PermissionPageElementAss.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\Role.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\RolePermissionAss.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\RoleUserGroupAss.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\User.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\UserGroup.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\UserRoleAss.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Entities\UserUserGroupAss.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Extensions\AuthorizationExtension.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Extensions\DbContextExtension.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Extensions\IQueryableExtension.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 46, 13, 66
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Helpers\PagedList.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Http\User.http", "HTTP", 0, 0, 0, 0, 23, 0, 0, 6, 11, 40
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Migrations\20210322022015_rbac-sqlite.Designer.cs", "C#", 0, 455, 0, 0, 0, 0, 0, 1, 157, 613
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Migrations\20210322022015_rbac-sqlite.cs", "C#", 0, 443, 0, 0, 0, 0, 0, 0, 57, 500
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Migrations\PangDbContextModelSnapshot.cs", "C#", 0, 453, 0, 0, 0, 0, 0, 1, 157, 611
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\BaseDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 6, 1, 15
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\FileResourceDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 9, 1, 18
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\FunctionOperationDto.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 18, 4, 33
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\MenuDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 12, 3, 25
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\PageElementDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 6, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\PermissionDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 6, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\PermissionFileResourceAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\PermissionFunctionOperationAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\PermissionMenuAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\PermissionPageElementAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\RoleDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 6, 0, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\RolePermissionAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\RoleUserGroupAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\UserDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 9, 1, 18
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\UserGroupDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\UserRoleAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Models\UserUserGroupAssDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 2, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Pang.RBAC.Api.csproj", "MSBuild", 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Profiles\ProfileBase.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 16, 60
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Program.cs", "C#", 0, 43, 0, 0, 0, 0, 0, 4, 5, 52
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Properties\PublishProfiles\FolderProfile.pubxml", "XML", 0, 0, 0, 0, 0, 17, 0, 3, 0, 20
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\Base\IRepositoryBase.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\Base\RepositoryBase.cs", "C#", 0, 107, 0, 0, 0, 0, 0, 0, 24, 131
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\FileResourceRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\FunctionOperationRepository.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\MenuRepository.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\PageElementRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\PermissionFileResourceAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\PermissionFunctionOperationAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\PermissionMenuAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\PermissionPageElementAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\PermissionRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\RolePermissionAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\RoleRepository.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\RoleUserGroupAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\UserGroupRepository.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\UserRepository.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\UserRoleAssRepository.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Repository\UserUserGroupAssRepository.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\Startup.cs", "C#", 0, 159, 0, 0, 0, 0, 0, 10, 25, 194
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\WeatherForecast.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"f:\LE-workspace\Pang.RBAC\src\Pang.RBAC.Api\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
